SMILES,pIC50,mol,num_atoms,logP,Molecular_Weight,Num_Bonds,TPSA,NumHDoner,NumHAcceptor
Cc1c(I)c(=O)n(-c2ccccc2)n1C,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f680>,15,2.08902,314.12600000000003,16,26.93,0,1
Nc1ccc(S(=O)(=O)O)c2ccccc12,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f6f0>,15,1.6687,223.25300000000001,16,80.39,2,3
O=C1C=CC(=O)c2ccccc21,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f760>,12,1.6218,158.156,13,34.14,0,2
Oc1ccc(Cl)c2cccnc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f7d0>,12,2.5938000000000008,179.60600000000002,13,33.120000000000005,1,2
COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f840>,26,2.647100000000001,354.45000000000005,30,65.56,2,4
COC(=O)c1ccccc1C(=O)OC,0.05,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f8b0>,14,1.2597999999999998,194.18599999999995,14,52.60000000000001,0,4
CCCOC(=O)c1ccccc1C(=O)OCCC,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f920>,18,2.8202000000000016,250.29399999999993,18,52.60000000000001,0,4
C=CCOC(=O)c1ccccc1C(=O)OCC=C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f990>,18,2.3722000000000003,246.26199999999994,18,52.60000000000001,0,4
CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fa00>,22,4.380600000000004,306.4020000000001,22,52.60000000000001,0,4
COc1ccc(C(=O)c2ccccc2)c(O)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fa70>,17,2.631800000000001,228.247,18,46.53,1,3
O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fae0>,19,3.256300000000002,266.25299999999993,20,106.51000000000002,1,5
O=Nc1c(O)ccc2ccccc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fb50>,13,2.9433000000000016,173.17099999999996,14,49.66,1,3
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298fbc0>,19,3.818600000000002,274.795,20,16.130000000000003,0,2
